cenario,id_mes,data_referencia,headcount_medio,salario_base_medio,horas_extras_medio,remuneracao_bruta_medio,custo_total_medio,saidas_medio,admissoes_medio,impacto_dissidio_medio,impacto_merito_medio,impacto_promocao_medio,impacto_quadro_medio,custo_total_p10,headcount_p10,custo_total_p50,headcount_p50,custo_total_p90,headcount_p90,custo_realizado,salario_realizado,headcount_realizado,erro_pct,dentro_da_banda,largura_banda_pct,erro_headcount
Backtest 2024,202401,2024-01-01,1645.86,18000033.31,897313.27,18897346.59,33512889.72,22.77,18.64,294544.86,0.0,3364.78,-42996.39,33355974.35,1641.0,33501940.43,1646.0,33695715.53,1651.0,33578706.44,18029632.81,1645,-0.0022861514971449504,True,0.01014094036462949,1.0
Backtest 2024,202402,2024-02-01,1641.8,17964123.01,895647.59,18859770.6,33445856.32,22.5,18.44,0.0,0.0,3354.32,-39264.62,33231732.54,1631.9,33437316.53,1642.0,33680293.24,1651.1,33451213.17,17961379.9,1644,-0.00041543007511801733,True,0.013414973046582663,-2.0
Backtest 2024,202403,2024-03-01,1637.71,17929787.22,894003.6,18823790.83,33381440.08,22.66,18.58,0.0,0.0,3219.67,-37555.45,33103595.09,1622.0,33386708.76,1637.0,33701305.88,1652.0,33256917.93,17867891.1,1637,0.0039026716267931416,True,0.017902656841578497,0.0
Backtest 2024,202404,2024-04-01,1633.64,18024047.26,898898.58,18922945.83,33536041.29,22.04,17.97,0.0,133992.32,3476.69,-43208.98,33171064.36,1613.0,33541142.93,1633.0,33920435.36,1653.0,33808806.1,18180324.06,1634,-0.007916966047493812,True,0.022341844509113154,-1.0
Backtest 2024,202405,2024-05-01,1629.59,18230803.61,909216.63,19140020.25,33881920.05,22.3,18.25,252238.07,0.0,3570.46,-49052.17,33416456.46,1604.0,33874182.44,1629.0,34379918.98,1654.0,34163018.56,18399639.63,1636,-0.00845464283235764,True,0.02844238445330862,-7.0
Backtest 2024,202406,2024-06-01,1625.6,18188585.08,907222.56,19095807.64,33804074.63,22.31,18.32,0.0,0.0,3349.64,-45568.17,33248975.82,1595.0,33802128.14,1625.0,34366213.02,1654.1,34067579.9,18354376.34,1632,-0.007791917147598637,True,0.03305227396845206,-7.0
Backtest 2024,202407,2024-07-01,1621.6,18145609.95,904983.84,19050593.8,33724610.12,22.32,18.32,0.0,0.0,3653.3,-46628.42,33103345.04,1586.0,33736606.21,1621.0,34347236.88,1655.0,34004685.17,18305941.64,1628,-0.007883588942517505,True,0.03687068676253798,-7.0
Backtest 2024,202408,2024-08-01,1617.61,18107096.83,902909.84,19010006.68,33652852.76,21.75,17.76,0.0,0.0,3374.94,-41888.06,32965286.22,1577.0,33662614.9,1617.0,34376157.22,1656.0,33721526.08,18142824.67,1616,-0.0017469903307530954,True,0.041912103506849076,1.0
Backtest 2024,202409,2024-09-01,1613.62,18320427.07,914532.22,19234959.3,34011643.78,22.08,18.09,256758.78,0.0,3671.85,-47100.39,33184885.59,1568.0,33994119.25,1612.5,34840825.43,1656.1,34035684.97,18329783.28,1612,-0.0012212394149445638,True,0.04871253841942088,0.5
Backtest 2024,202410,2024-10-01,1609.68,18276027.26,912250.04,19188277.3,33929854.26,21.85,17.91,0.0,0.0,3453.16,-47852.98,33003009.86,1560.0,33924947.54,1608.0,34823660.24,1657.1,34043882.9,18329708.46,1611,-0.0034935897397296856,True,0.053667006495833856,-3.0
Backtest 2024,202411,2024-11-01,1605.75,18233410.45,910100.17,19143510.62,33851180.52,21.79,17.86,0.0,0.0,3524.13,-46140.94,32895788.86,1551.0,33846644.72,1604.0,34830669.16,1658.0,33921791.7,18260793.02,1605,-0.00221530102727463,True,0.05716608886956158,-1.0
Backtest 2024,202412,2024-12-01,1601.85,18190252.33,907857.89,19098110.22,33799801.17,21.39,17.49,0.0,0.0,3493.89,-46652.01,32753741.77,1542.0,33806029.37,1600.0,34867729.56,1659.0,33914838.65,18269936.88,1606,-0.0032083089388367236,True,0.06253286261047826,-6.0
